experiment_id,input,intended_output,output_id,replicate,sample_id,strain,time
exp1,01,0,ts1,1,0,UWBF1,1
exp1,01,0,ts1,2,1,UWBF1,1
exp1,01,0,ts1,3,2,UWBF1,1
exp1,01,0,ts1,4,3,UWBF1,1
exp1,01,0,ts1,5,4,UWBF1,1
exp1,00,1,ts1,1,5,UWBF1,2
exp1,00,1,ts1,2,6,UWBF1,2
exp1,00,1,ts1,3,7,UWBF1,2
exp1,00,1,ts1,4,8,UWBF1,2
exp1,00,1,ts1,5,9,UWBF1,2
exp1,00,1,ts1,1,10,UWBF1,3
exp1,00,1,ts1,2,11,UWBF1,3
exp1,00,1,ts1,3,12,UWBF1,3
exp1,00,1,ts1,4,13,UWBF1,3
exp1,00,1,ts1,5,14,UWBF1,3
exp1,00,1,ts2,1,15,UWBF1,1
exp1,00,1,ts2,2,16,UWBF1,1
exp1,00,1,ts2,3,17,UWBF1,1
exp1,00,1,ts2,4,18,UWBF1,1
exp1,00,1,ts2,5,19,UWBF1,1
exp1,01,0,ts2,1,20,UWBF1,2
exp1,01,0,ts2,2,21,UWBF1,2
exp1,01,0,ts2,3,22,UWBF1,2
exp1,01,0,ts2,4,23,UWBF1,2
exp1,01,0,ts2,5,24,UWBF1,2
exp1,01,0,ts2,1,25,UWBF1,3
exp1,01,0,ts2,2,26,UWBF1,3
exp1,01,0,ts2,3,27,UWBF1,3
exp1,01,0,ts2,4,28,UWBF1,3
exp1,01,0,ts2,5,29,UWBF1,3
exp1,01,0,ts1,1,30,UWBF2,1
exp1,01,0,ts1,2,31,UWBF2,1
exp1,01,0,ts1,3,32,UWBF2,1
exp1,01,0,ts1,4,33,UWBF2,1
exp1,01,0,ts1,5,34,UWBF2,1
exp1,00,1,ts1,1,35,UWBF2,2
exp1,00,1,ts1,2,36,UWBF2,2
exp1,00,1,ts1,3,37,UWBF2,2
exp1,00,1,ts1,4,38,UWBF2,2
exp1,00,1,ts1,5,39,UWBF2,2
exp1,00,1,ts1,1,40,UWBF2,3
exp1,00,1,ts1,2,41,UWBF2,3
exp1,00,1,ts1,3,42,UWBF2,3
exp1,00,1,ts1,4,43,UWBF2,3
exp1,00,1,ts1,5,44,UWBF2,3
exp1,00,1,ts2,1,45,UWBF2,1
exp1,00,1,ts2,2,46,UWBF2,1
exp1,00,1,ts2,3,47,UWBF2,1
exp1,00,1,ts2,4,48,UWBF2,1
exp1,00,1,ts2,5,49,UWBF2,1
exp1,01,0,ts2,1,50,UWBF2,2
exp1,01,0,ts2,2,51,UWBF2,2
exp1,01,0,ts2,3,52,UWBF2,2
exp1,01,0,ts2,4,53,UWBF2,2
exp1,01,0,ts2,5,54,UWBF2,2
exp1,01,0,ts2,1,55,UWBF2,3
exp1,01,0,ts2,2,56,UWBF2,3
exp1,01,0,ts2,3,57,UWBF2,3
exp1,01,0,ts2,4,58,UWBF2,3
exp1,01,0,ts2,5,59,UWBF2,3
exp2,01,0,ts1,1,60,UWBF1,1
exp2,01,0,ts1,2,61,UWBF1,1
exp2,01,0,ts1,3,62,UWBF1,1
exp2,01,0,ts1,4,63,UWBF1,1
exp2,01,0,ts1,5,64,UWBF1,1
exp2,00,1,ts1,1,65,UWBF1,2
exp2,00,1,ts1,2,66,UWBF1,2
exp2,00,1,ts1,3,67,UWBF1,2
exp2,00,1,ts1,4,68,UWBF1,2
exp2,00,1,ts1,5,69,UWBF1,2
exp2,00,1,ts1,1,70,UWBF1,3
exp2,00,1,ts1,2,71,UWBF1,3
exp2,00,1,ts1,3,72,UWBF1,3
exp2,00,1,ts1,4,73,UWBF1,3
exp2,00,1,ts1,5,74,UWBF1,3
exp2,00,1,ts2,1,75,UWBF1,1
exp2,00,1,ts2,2,76,UWBF1,1
exp2,00,1,ts2,3,77,UWBF1,1
exp2,00,1,ts2,4,78,UWBF1,1
exp2,00,1,ts2,5,79,UWBF1,1
exp2,01,0,ts2,1,80,UWBF1,2
exp2,01,0,ts2,2,81,UWBF1,2
exp2,01,0,ts2,3,82,UWBF1,2
exp2,01,0,ts2,4,83,UWBF1,2
exp2,01,0,ts2,5,84,UWBF1,2
exp2,01,0,ts2,1,85,UWBF1,3
exp2,01,0,ts2,2,86,UWBF1,3
exp2,01,0,ts2,3,87,UWBF1,3
exp2,01,0,ts2,4,88,UWBF1,3
exp2,01,0,ts2,5,89,UWBF1,3
exp2,01,0,ts1,1,90,UWBF2,1
exp2,01,0,ts1,2,91,UWBF2,1
exp2,01,0,ts1,3,92,UWBF2,1
exp2,01,0,ts1,4,93,UWBF2,1
exp2,01,0,ts1,5,94,UWBF2,1
exp2,00,1,ts1,1,95,UWBF2,2
exp2,00,1,ts1,2,96,UWBF2,2
exp2,00,1,ts1,3,97,UWBF2,2
exp2,00,1,ts1,4,98,UWBF2,2
exp2,00,1,ts1,5,99,UWBF2,2
exp2,00,1,ts1,1,100,UWBF2,3
exp2,00,1,ts1,2,101,UWBF2,3
exp2,00,1,ts1,3,102,UWBF2,3
exp2,00,1,ts1,4,103,UWBF2,3
exp2,00,1,ts1,5,104,UWBF2,3
exp2,00,1,ts2,1,105,UWBF2,1
exp2,00,1,ts2,2,106,UWBF2,1
